municipio_id,municipio_nombre,establecimiento_id,establecimiento_nombre,region_educativa,clave,cueanexo,modalidad,nivel,direccion,telefono,rpv,email,sector,dependencia,tipo_organizacion,area,ambito,desfavorabilidad,subvencion,sede_axo_ext,categoria,depend_func,cui,periodo,matricula,varones,mujeres,secciones,turnos,cue,anexo,nro_escuela,latitud,longitud
06441,La Plata,1,ESCUELA DE DANZAS CLASICAS Nº3,Región 1,0001AD0003,61060000,Educación Artística,Ciclo Medio,54 E/ 7 Y 8 - 628,221-482-2571,,danzasclasicas3laplata@abc.gob.ar,Estatal,Oficial,ESCUELA DE DANZAS CLÁSICAS,INTERIOR,Urbano,0,Oficial,SEDE,Primera,Dirección de Educación Artística,600100011,Anual 2025,187,12,175,15,"MAÑANA,TARDE,VESPERTINO",610600,0,3,-34.917432490313374,-57.94760623593251
06441,La Plata,1,ESCUELA DE DANZAS CLASICAS Nº3,Región 1,0001AD0003,61060000,Educación Artística,Ciclo de Iniciación,54 E/ 7 Y 8 - 628,221-482-2571,,danzasclasicas3laplata@abc.gob.ar,Estatal,Oficial,ESCUELA DE DANZAS CLÁSICAS,INTERIOR,Urbano,0,Oficial,SEDE,Primera,Dirección de Educación Artística,600100011,Anual 2025,201,6,195,15,"MAÑANA,TARDE,VESPERTINO",610600,0,3,-34.917432490313374,-57.94760623593251
06441,La Plata,1,ESCUELA DE DANZAS CLASICAS Nº3,Región 1,0001AD0003,61060000,Educación Artística,Nivel Superior,54 E/ 7 Y 8 - 628,221-482-2571,,danzasclasicas3laplata@abc.gob.ar,Estatal,Oficial,ESCUELA DE DANZAS CLÁSICAS,INTERIOR,Urbano,0,Oficial,SEDE,Primera,Dirección de Educación Artística,600100011,Anual 2025,200,6,194,22,"MAÑANA,TARDE,VESPERTINO",610600,0,3,-34.917432490313374,-57.94760623593251
06441,La Plata,2,"ESCUELA DE EDUCACIÓN ARTÍSTICA Nº1 ""MARÍA INÉS ZUCCARELLI""",Región 1,0001AE0001,61498400,Educación Artística,Cursos y Talleres,45 - 743,221-482-2300,21216,estetica1laplata@abc.gob.ar,Estatal,Oficial,ESCUELA DE EDUCACIÓN ARTÍSTICA,INTERIOR,Urbano,0,Oficial,SEDE,Primera,Dirección de Educación Artística,600100024,Anual 2025,1387,558,829,70,"MAÑANA,TARDE,VESPERTINO",614984,0,1,-34.91404098949632,-57.95703621484303
06441,La Plata,3,ESCUELA DE EDUCACIÓN ARTÍSTICA Nº2,Región 1,0001AE0002,61498500,Educación Artística,Cursos y Talleres,76 - RELOCALIZADOS EN EL ISFDYT N° 12 - S/N,221-417-7438,21448,estetica2laplata@abc.gob.ar,Estatal,Oficial,ESCUELA DE EDUCACIÓN ARTÍSTICA,INTERIOR,Urbano,0,Oficial,SEDE,Primera,Dirección de Educación Artística,600100030,Anual 2025,867,350,517,38,"MAÑANA,TARDE,VESPERTINO",614985,0,2,-34.934051978843904,-57.92425791547498
06441,La Plata,7,"CONSERVATORIO DE MÚSICA ""GILARDO-GILARDI""",Región 1,0001AM0001,60794600,Educación Artística,Ciclo de Iniciación,CAMINO GENERAL BELGRANO Y 523 - S/N,221-421-4500,21244,conservatoriolaplata@abc.gob.ar,Estatal,Oficial,CONSERVATORIO DE MÚSICA,INTERIOR,Urbano,0,Oficial,SEDE,Primera,Dirección de Educación Artística,600100053,Anual 2025,388,185,203,16,"MAÑANA,TARDE,VESPERTINO",607946,0,1,-34.89811091410331,-57.98505636856925
06441,La Plata,7,"CONSERVATORIO DE MÚSICA ""GILARDO-GILARDI""",Región 1,0001AM0001,60794600,Educación Artística,Ciclo Medio,CAMINO GENERAL BELGRANO Y 523 - S/N,221-421-4500,21244,conservatoriolaplata@abc.gob.ar,Estatal,Oficial,CONSERVATORIO DE MÚSICA,INTERIOR,Urbano,0,Oficial,SEDE,Primera,Dirección de Educación Artística,600100053,Anual 2025,708,312,396,22,"MAÑANA,TARDE,VESPERTINO",607946,0,1,-34.89811091410331,-57.98505636856925
06441,La Plata,7,"CONSERVATORIO DE MÚSICA ""GILARDO-GILARDI""",Región 1,0001AM0001,60794600,Educación Artística,Nivel Superior,CAMINO GENERAL BELGRANO Y 523 - S/N,221-421-4500,21244,conservatoriolaplata@abc.gob.ar,Estatal,Oficial,CONSERVATORIO DE MÚSICA,INTERIOR,Urbano,0,Oficial,SEDE,Primera,Dirección de Educación Artística,600100053,Anual 2025,201,94,107,22,"MAÑANA,TARDE,VESPERTINO",607946,0,1,-34.89811091410331,-57.98505636856925
06441,La Plata,8,ESCUELA DE TEATRO LA PLATA,Región 1,0001AT0004,61288400,Educación Artística,Nivel Superior,AV. 51 - 419,221-482-1647,21236,escueladeteatrolaplata@abc.gob.ar,Estatal,Oficial,ESCUELA DE TEATRO,INTERIOR,Urbano,0,Oficial,SEDE,Primera,Dirección de Educación Artística,600100069,Anual 2025,511,150,361,28,"NOCHE,TARDE,VESPERTINO",612884,0,4,-34.911834251046024,-57.94550771290402
06441,La Plata,8,ESCUELA DE TEATRO LA PLATA,Región 1,0001AT0004,61288400,Educación Artística,Ciclo de Iniciación,AV. 51 - 419,221-482-1647,21236,escueladeteatrolaplata@abc.gob.ar,Estatal,Oficial,ESCUELA DE TEATRO,INTERIOR,Urbano,0,Oficial,SEDE,Primera,Dirección de Educación Artística,600100069,Anual 2025,83,15,68,4,"NOCHE,TARDE,VESPERTINO",612884,0,4,-34.911834251046024,-57.94550771290402
